prova_titulo,aluno_ra,data_criacao,questao_enunciado,questao_tipo,questao_peso,questao_respostas,resposta_colocada,resposta_correta
Prova 1 - Matemática,A234567-T123456,2026-02-12,Quanto é 2 + 2?,multipla_escolha,1.0,A) 3 | B) 4 | C) 5 | D) 6,,B
Prova 1 - Matemática,A234567-T123456,2026-02-12,Qual é a raiz quadrada de 16?,multipla_escolha,1.0,A) 2 | B) 4 | C) 6 | D) 8,,B
Prova 1 - Matemática,A234567-T123456,2026-02-12,Quanto é 10 / 2?,multipla_escolha,1.0,A) 3 | B) 5 | C) 7 | D) 9,,B
Prova 2 - História,A345678-T234567,2026-02-12,Em que ano foi descoberto o Brasil?,multipla_escolha,2.0,A) 1400 | B) 1500 | C) 1600 | D) 1700,,B
Prova 2 - História,A345678-T234567,2026-02-12,Qual foi a primeira capital do Brasil?,multipla_escolha,2.0,A) Rio de Janeiro | B) São Paulo | C) Salvador | D) Brasília,,C
Prova 3 - Português,A456789-T345678,2026-02-12,Complete: O gato subiu _____ árvore,multipla_escolha,1.5,A) em | B) na | C) no | D) para,,B
Prova 3 - Português,A456789-T345678,2026-02-12,Qual é o plural de limão?,multipla_escolha,1.5,A) limõe | B) limõis | C) limões | D) limôes,,C
Prova 4 - Biologia,,2026-02-11,Quantas pernas tem uma aranha?,multipla_escolha,1.0,A) 4 | B) 6 | C) 8 | D) 10,,C
Prova 4 - Biologia,,2026-02-11,O coração humano tem quantas câmaras?,multipla_escolha,1.0,A) 2 | B) 3 | C) 4 | D) 5,,C
Prova 4 - Biologia,,2026-02-11,Qual é a maior glândula do corpo humano?,multipla_escolha,2.0,A) Fígado | B) Pâncreas | C) Tireóide | D) Glândula salivar,,A
